source,target,type
28805,1003,undirected
28805,1912,undirected
33051,64,undirected
33051,142,undirected
33051,143,undirected
11843,16,undirected
11843,58,undirected
11843,643,undirected
11843,787,undirected
37450,17,undirected
37450,1211,undirected
37450,1333,undirected
37450,1366,undirected
37450,1416,undirected
37450,1500,undirected
37450,1696,undirected
512,2518,undirected
50602,16,undirected
50602,62,undirected
50602,1143,undirected
50602,1365,undirected
45577,104,undirected
31240,16,undirected
31240,108,undirected
31240,113,undirected
31240,238,undirected
31240,306,undirected
31240,647,undirected
31240,1333,undirected
55866,143,undirected
55866,159,undirected
55866,1113,undirected
55866,1211,undirected
55866,1468,undirected
55866,1988,undirected
55866,2045,undirected
55866,2146,undirected
55357,17,undirected
55357,797,undirected
35677,104,undirected
35677,109,undirected
35677,144,undirected
35677,211,undirected
35677,1840,undirected
15227,79,undirected
15227,1528,undirected
5690,53,undirected
5690,79,undirected
5690,147,undirected
5690,159,undirected
5690,169,undirected
5690,517,undirected
5690,757,undirected
11977,17,undirected
11977,143,undirected
11977,166,undirected
11977,459,undirected
11977,797,undirected
49596,55,undirected
49596,104,undirected
49596,159,undirected
49596,1390,undirected
49596,1468,undirected
49596,1992,undirected
49596,2074,undirected
49596,2424,undirected
49596,2425,undirected
585,382,undirected
440,16,undirected
440,127,undirected
440,153,undirected
440,1461,undirected
6,123,undirected
35838,238,undirected
35838,1550,undirected
35838,1551,undirected
35838,1696,undirected
54959,539,undirected
54959,775,undirected
54959,1211,undirected
54959,1261,undirected
54959,1634,undirected
54959,2015,undirected
54959,2763,undirected
53393,143,undirected
53393,159,undirected
53393,1113,undirected
53393,1284,undirected
53393,2146,undirected
12115,29,undirected
12115,148,undirected
12115,166,undirected
12115,795,undirected
12115,1123,undirected
12115,1261,undirected
12115,1584,undirected
12115,1697,undirected
2966,123,undirected
2966,144,undirected
2966,166,undirected
2966,352,undirected
627,62,undirected
627,111,undirected
627,1797,undirected
38680,16,undirected
38680,100,undirected
38680,139,undirected
38680,148,undirected
38680,1284,undirected
38680,2174,undirected
38680,2495,undirected
1842,62,undirected
1842,111,undirected
1842,1797,undirected
9863,16,undirected
9863,52,undirected
9863,53,undirected
18115,17,undirected
18115,53,undirected
18115,62,undirected
18115,143,undirected
18115,166,undirected
18115,1602,undirected
372,23,undirected
372,109,undirected
372,159,undirected
372,168,undirected
372,827,undirected
44055,61,undirected
44055,166,undirected
44055,323,undirected
44055,1294,undirected
44055,1355,undirected
44055,1551,undirected
44055,1583,undirected
44055,1680,undirected
44055,1696,undirected
38003,33,undirected
38003,104,undirected
38003,166,undirected
38003,687,undirected
38003,757,undirected
38003,1255,undirected
38003,1551,undirected
38003,1696,undirected
38003,1840,undirected
5460,62,undirected
23847,145,undirected
23847,166,undirected
23847,711,undirected
23847,751,undirected
23847,1113,undirected
6811,76,undirected
6811,1430,undirected
16894,23,undirected
16894,104,undirected
16894,139,undirected
16894,1121,undirected
16894,1365,undirected
16894,1416,undirected
3091,145,undirected
3091,157,undirected
3091,158,undirected
3091,159,undirected
3091,166,undirected
3091,3024,undirected
32843,647,undirected
32843,775,undirected
32843,963,undirected
32843,1344,undirected
32843,1679,undirected
40052,10,undirected
40052,169,undirected
40052,843,undirected
40052,1143,undirected
40052,1488,undirected
51019,17,undirected
51019,1365,undirected
42897,17,undirected
42897,58,undirected
42897,143,undirected
42897,166,undirected
42897,1677,undirected
42897,1744,undirected
42897,2095,undirected
42897,2186,undirected
57524,17,undirected
57524,76,undirected
57524,1211,undirected
57524,1261,undirected
57524,1416,undirected
57524,1554,undirected
57524,2640,undirected
57524,2976,undirected
37171,148,undirected
37171,238,undirected
37171,737,undirected
37171,1551,undirected
37171,1696,undirected
1453,99,undirected
1453,169,undirected
1142,53,undirected
1142,79,undirected
1142,169,undirected
1142,517,undirected
1142,757,undirected
1142,1365,undirected
813,169,undirected
813,1365,undirected
36946,169,undirected
36946,230,undirected
36946,1233,undirected
36946,1365,undirected
49114,17,undirected
49114,58,undirected
49114,1333,undirected
49114,1554,undirected
34537,169,undirected
34537,245,undirected
34537,843,undirected
34537,1696,undirected
18617,23,undirected
18617,104,undirected
18617,166,undirected
18617,1287,undirected
18617,1333,undirected
18617,1488,undirected
10800,29,undirected
10800,1003,undirected
22297,17,undirected
22297,703,undirected
22297,719,undirected
40729,159,undirected
40729,577,undirected
40729,1840,undirected
40853,53,undirected
40853,55,undirected
40853,245,undirected
40853,1365,undirected
40853,1366,undirected
40853,1415,undirected
40853,1430,undirected
40853,2016,undirected
40853,2036,undirected
