source,target,type
10521,-2015924005,undirected
10521,1988301924,undirected
10521,655283851,undirected
10521,-1607117304,undirected
10521,1004488410,undirected
10521,-2002774756,undirected
10521,-515277882,undirected
10521,1349473534,undirected
32983,810261924,undirected
32983,-1607117304,undirected
32983,1982855072,undirected
50160,-469146262,undirected
50160,1383645770,undirected
50160,-1214937427,undirected
50160,1004488410,undirected
50160,-1837187259,undirected
38731,-867359006,undirected
38731,-45397545,undirected
38731,1352416850,undirected
33049,-10559693,undirected
33049,1185739129,undirected
33049,-2020601206,undirected
53199,-300579669,undirected
53199,2383917,undirected
14353,-710921092,undirected
14353,851137066,undirected
14353,-911763424,undirected
14353,-832808513,undirected
34437,-1635636539,undirected
34437,-45397545,undirected
34437,1004488410,undirected
34437,-667821544,undirected
34437,1996009858,undirected
59145,1963706696,undirected
59145,857020055,undirected
59145,296862948,undirected
51019,1110055572,undirected
51019,430506558,undirected
51019,-640353766,undirected
51019,-966533969,undirected
57559,1955848365,undirected
57559,-726183131,undirected
38400,-73746960,undirected
38400,314006290,undirected
38400,-1235328453,undirected
38400,-867359006,undirected
38400,-1129514379,undirected
2924,958686228,undirected
2924,-1292607799,undirected
2924,647905535,undirected
2924,-993992527,undirected
2924,-1093583810,undirected
11843,434453139,undirected
11843,-2032752875,undirected
11843,-309420403,undirected
11843,-448409145,undirected
11843,811681975,undirected
3783,203345567,undirected
3783,-492332476,undirected
3783,-448409145,undirected
3783,800393984,undirected
20431,-1183682921,undirected
1735,874989461,undirected
1735,810261924,undirected
1735,806766546,undirected
1735,-448409145,undirected
1735,-10559693,undirected
1735,1505232370,undirected
1735,2037256733,undirected
1735,-374991200,undirected
40052,-240687688,undirected
40052,-402688508,undirected
40052,1735455731,undirected
40052,-852132797,undirected
40052,379223387,undirected
1471,-938010818,undirected
1471,617611648,undirected
54918,1243159369,undirected
54918,-1235328453,undirected
54918,379243378,undirected
54918,-403216168,undirected
9465,-1187308571,undirected
9465,394478779,undirected
34636,-1172602045,undirected
34636,-1013194783,undirected
34636,-726183131,undirected
34636,-627194634,undirected
34636,-1545153521,undirected
34636,-1618638379,undirected
27831,1988301924,undirected
27831,1004488410,undirected
27831,-1607117304,undirected
27831,75717441,undirected
27831,-640353766,undirected
27831,1668641251,undirected
37675,1836996181,undirected
42894,810261924,undirected
42894,301151249,undirected
42894,-1607117304,undirected
42894,1725827712,undirected
42894,-786781853,undirected
13759,-1579309934,undirected
13759,-1257937044,undirected
13759,-1179273969,undirected
13759,-996939427,undirected
13759,-45397545,undirected
13759,814677563,undirected
13759,-1509776773,undirected
34504,1383645770,undirected
34504,-1797354504,undirected
34504,1882535781,undirected
34504,107815970,undirected
33050,-10559693,undirected
33050,1064225957,undirected
33050,1185739129,undirected
33050,-90235210,undirected
33050,-2020601206,undirected
33050,-102405320,undirected
34438,-1635636539,undirected
34438,-45397545,undirected
34438,-1235328453,undirected
34438,1004488410,undirected
34438,647042807,undirected
34438,1996009858,undirected
18,1562670976,undirected
18,-388389166,undirected
18,290389829,undirected
19111,1985733302,undirected
19111,1697893647,undirected
19111,828058068,undirected
19111,-254875577,undirected
19111,292514729,undirected
19111,2487634,undirected
19111,1036874730,undirected
19111,-1174471784,undirected
19111,953449955,undirected
30276,-1991091409,undirected
30276,-1271727079,undirected
877,-1339106395,undirected
877,811681975,undirected
877,-640855958,undirected
51680,-73746960,undirected
51680,-240687688,undirected
51680,-1271727079,undirected
51680,640546987,undirected
51680,-308059763,undirected
51680,1532605082,undirected
3784,857020055,undirected
3784,-43664692,undirected
3784,237323193,undirected
10721,473653768,undirected
10721,626697398,undirected
10721,1430218253,undirected
10721,1368223751,undirected
23273,1110055572,undirected
23273,1404135962,undirected
23273,-726183131,undirected
23273,1352416850,undirected
1604,-2066032584,undirected
1604,-2012901003,undirected
